央视,#genre#


CCTV1,http://10.11.43.21/PLTV/88888912/224/3221226446/10000100000000060000000000870185_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791

CCTV2,http://10.11.43.21/PLTV/88888912/224/3221226445/10000100000000060000000000870187_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791
CCTV3,http://10.11.43.21/PLTV/88888912/224/3221226422/10000100000000060000000000808184_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791

CCTV4,http://10.11.43.21/PLTV/88888912/224/3221226450/10000100000000060000000000870191_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791
CCTV5,http://10.11.43.21/PLTV/88888912/224/3221226423/10000100000000060000000000808427_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791

CCTV5+,http://10.11.43.21/PLTV/88888912/224/3221226077/10000100000000060000000000662662_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791


CCTV6,http://10.11.43.21/PLTV/88888912/224/3221226426/10000100000000060000000000808425_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791
CCTV8,http://10.11.43.21/PLTV/88888912/224/3221226444/10000100000000060000000000808423_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791


CCTV9,http://10.11.43.21/PLTV/88888912/224/3221226443/10000100000000060000000000870186_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791
CCTV10,http://10.11.43.21/PLTV/88888912/224/3221226454/10000100000000060000000000870188_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791

CCTV11,http://10.11.43.21/PLTV/88888912/224/3221226102/10000100000000060000000000719622_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791

CCTV12,http://10.11.43.21/PLTV/88888912/224/3221226447/10000100000000060000000000870190_0.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791
CCTV13,http://10.11.43.21/PLTV/88888912/224/3221226678/382484600.smil/01.m3u8?fmt=ts2hls&icpid=88888912&from=19&hms_devid=1424&online=1702564791




//new

CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4


CCTV6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6

CCTV8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13

//genre
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
